content,country,recipient,sender,timestamp
"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.",BI,129876611,929875499,1516364978
"No, its true..k,Do u knw dis no. &lt;#&gt; ?",BB,129876558,929875453,1516364512
Yeah imma come over cause jay wants to do some drugs,TR,12-9876609,929875523,1516365401
"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-",UM,12-9876552,929875473,1516365635
aathi..where are you dear..,KR,129876587,92-9875513,1516365374
Wah lucky man... Then can save money... Hee...,ES,129876547,929875481,1516365860
Or �_ go buy wif him then i meet �_ later can?,BT,129876626,92-9875531,1516365085
"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",MN,12-9876565,92-9875530,1516364892
"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka?",MT,12-9876545,92-9875474,1516365211
Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.,GU,12-9876593,999999995,1516364328
"Shop till u Drop, IS IT YOU, either 10K, 5K, �500 Cash or �100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",GU,12-9876561,999999991,1516364185
Watching tv lor. Nice one then i like lor.,MK,12-9876606,929875490,1516365953
\SHIT BABE.. THASA BIT MESSED UP.YEH,ZW,12-9876619,929875467,1516364369
Long time. You remember me today.,AZ,129876629,92-9875531,1516365534
If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.,TM,129876540,92-9875523,1516364768
"Aight, I'm chillin in a friend's room so text me when you're on the way",SL,129876598,929875503,1516365023
Yar else i'll thk of all sorts of funny things.,UM,12-9876569,929875502,1516365837
"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ?",HN,12-9876536,92-9875532,1516364413
Mm not entirely sure i understood that text but hey. Ho. Which weekend?,VE,129876537,929875457,1516364380
ARR birthday today:) i wish him to get more oscar.,MD,129876537,92-9875525,1516365242
Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.,LV,12-9876605,92-9875503,1516364581
Really good:)dhanush rocks once again:),OM,12-9876565,929875510,1516364674
Howz that persons story,PS,12-9876631,92-9875487,1516365054
Quite lor. But dun tell him wait he get complacent...,BA,129876617,92-9875479,1516365492
"WELL DONE! Your 4* Costa Del Sol Holiday or �5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost�1.50/pm, Max10mins",MR,129876607,999999998,1516364339
"That means you got an A in epi, she.s fine. She.s here now.",VI,12-9876543,929875460,1516364495
I think it's all still in my car,GZ,12-9876582,929875469,1516365155
Tell rob to mack his gf in the theater,GW,12-9876546,92-9875448,1516365592
Can �_ call me at 10:10 to make sure dat i've woken up...,EH,129876625,92-9875479,1516365943
Pick you up bout 7.30ish? What time are  and that going?,LC,12-9876615,92-9875510,1516364775
"SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)",VE,129876624,999999993,1516364827
"Latest Nokia Mobile or iPOD MP3 Player +�400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.�1,50/Mtmsgrcvd18+",BM,129876607,999999999,1516365062
Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,FR,129876590,999999992,1516364454
If u sending her home first it's ok lor. I'm not ready yet.,RE,12-9876544,92-9875532,1516364810
Got c... I lazy to type... I forgot �_ in lect... I saw a pouch but like not v nice...,NE,12-9876609,92-9875487,1516364233
"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy",TF,129876619,929875451,1516364903
Hahaha..use your brain dear,LR,12-9876598,929875480,1516365839
Most of the tiime when i don't let you hug me it's so i don't break into tears.,KM,129876562,92-9875529,1516364883
"I am late,so call you tomorrow morning.take care sweet dreams....u and me...ummifying...bye.",FI,12-9876592,929875439,1516366075
Hello which the site to download songs its urgent pls,ER,129876599,929875471,1516364502
Oooh I got plenty of those!,US,12-9876615,929875527,1516365723
I am in bus on the way to calicut,ST,12-9876614,929875440,1516364226
"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",KH,129876560,92-9875521,1516365363
I have to take exam with in march 3,TK,12-9876538,92-9875482,1516365684
"Cool, want me to go to kappa or should I meet you outside mu",WF,12-9876571,929875481,1516365560
Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,DZ,12-9876551,929875488,1516364966
Oh k k:)but he is not a big hitter.anyway good,MQ,12-9876575,92-9875526,1516365055
True dear..i sat to pray evening and felt so.so i sms'd you in some time...,PW,129876568,929875492,1516364796
Hi' Test on  &lt;#&gt; rd ....,VN,129876584,929875508,1516364503
I dont know oh. Hopefully this month.,WF,12-9876574,92-9875501,1516364952
"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",EE,129876611,92-9875460,1516365601
"\"Happy or sad , one thing about past is- \\Its no more\"\" GOOD MORNING :-):-).\"\"\"",XK,12-9876545,929875436,1516365566
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,KN,129876535,929875479,1516365179
"Sorry, I'll call later",GY,12-9876594,929875504,1516364549
* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,RS,12-9876558,999999999,1516366041
"yeah, that's what I was thinking",SO,129876597,929875449,1516364999
How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,EG,12-9876534,92-9875491,1516365565
No problem. We will be spending a lot of quality time together...,VI,129876621,929875452,1516365376
"\"And stop wondering \\wow is she ever going to stop tm'ing me ?!\"\" because I will tm you whenever I want because you are MINE ... *laughs*\"\"\"",PL,12-9876581,929875464,1516366141
"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)",GT,12-9876554,929875514,1516365760
"Aight that'll work, thanks",AW,129876602,92-9875479,1516365812
K. I will sent it again,GQ,129876538,92-9875509,1516365147
"Oops I did have it,  &lt;#&gt; ?",LK,129876592,92-9875465,1516365921
Pls dont restrict her from eating anythin she likes for the next two days.,YE,12-9876550,92-9875525,1516365220
Thank you princess! I want to see your nice juicy booty...,BS,129876604,929875465,1516364490
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,MS,12-9876580,999999996,1516365862
"When you get free, call me",IM,129876571,92-9875496,1516364956
Yeah get the unlimited,TC,129876549,92-9875519,1516364343
This is my number by vivek..,LI,12-9876593,92-9875479,1516364708
"If i let you do this, i want you in the house by 8am.",GB,12-9876545,92-9875471,1516365042
+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON �1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max�7. 50,FO,129876583,999999995,1516364430
WINNER!! As a valued network customer you have been selected to receivea �900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,VU,129876562,999999993,1516365256
"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat...",VU,129876591,92-9875475,1516365519
URGENT! Your Mobile number has been awarded with a �2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only,EC,12-9876598,999999996,1516364923
"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you",HM,129876562,929875473,1516365931
watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..,GZ,129876550,92-9875475,1516365791
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,FI,129876617,929875496,1516364529
Wife.how she knew the time of murder exactly,PS,129876592,929875503,1516365536
"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.",RU,12-9876563,92-9875506,1516365769
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",KM,129876547,999999991,1516364417
U still going to the mall?,IO,129876562,929875440,1516365914
My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,GQ,129876540,92-9875493,1516365801
We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,NC,129876558,929875525,1516365667
Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,BW,12-9876583,929875459,1516365140
We'll join the  &lt;#&gt;  bus,KP,12-9876601,92-9875532,1516364206
More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. A�1.50 minAPN LS278BB,SN,12-9876542,999999992,1516364311
Do u noe how 2 send files between 2 computers?,JP,129876608,92-9875464,1516364216
And how's your husband.,CZ,12-9876612,92-9875510,1516366021
I borrow ur bag ok.,LI,12-9876612,929875466,1516364980
Get me out of this dump heap. My mom decided to come to lowes. BORING.,QA,129876604,929875526,1516364925
Thanks for sending this mental ability question..,UM,12-9876609,929875476,1516364470
You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.,FJ,129876569,929875451,1516365332
Good morning princess! How are you?,BA,12-9876618,929875434,1516364665
I had askd u a question some hours before. Its answer,PK,12-9876545,92-9875458,1516365094
Many times we lose our best ones bcoz we are,LY,12-9876558,92-9875478,1516366144
Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?,PY,12-9876613,929875434,1516364316
Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,SK,129876559,999999995,1516366123
Mm i had my food da from out,CC,129876574,92-9875507,1516366040
"Tunde, how are you doing. This is just wishing you a great day. Abiola.",CU,129876575,92-9875467,1516365083
"Sorry, I'll call later",BE,12-9876624,92-9875469,1516366094
Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.,MY,12-9876541,92-9875440,1516365598
Ur HMV Quiz cash-balance is currently �500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,BR,129876575,999999998,1516364991
important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,NU,129876583,999999993,1516364702
I've told you everything will stop. Just dont let her get dehydrated.,GR,129876589,929875468,1516364822
"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was",MS,12-9876618,92-9875477,1516364797
I sent you  &lt;#&gt;  bucks,HT,129876622,92-9875463,1516364664
Short But Cute : \ Be a good person,KW,12-9876591,92-9875462,1516365393
Yep then is fine 7.30 or 8.30 for ice age.,CV,129876549,92-9875462,1516365553
"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182",CK,129876549,999999995,1516364679
Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or �5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,RO,12-9876585,999999997,1516365576
O was not into fps then.,TW,12-9876542,92-9875513,1516365112
WINNER!! As a valued network customer you have been selected to receivea �900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,SN,129876583,999999994,1516365858
O we cant see if we can join denis and mina? Or does denis want alone time,TD,129876632,92-9875480,1516365074
Was actually about to send you a reminder today. Have a wonderful weekend,VA,12-9876614,929875463,1516365881
No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,TD,129876534,92-9875445,1516365262
MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED,ZW,129876594,92-9875515,1516365250
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,TZ,12-9876579,929875523,1516364390
Stupid.its not possible,MT,129876612,92-9875463,1516364511
Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,ET,12-9876596,929875484,1516364625
Sorry me going home first... Daddy come fetch �_ later...,PW,129876549,929875518,1516364914
Msg me when rajini comes.,EE,129876543,929875434,1516364250
Still in customer place,GE,12-9876584,92-9875518,1516364906
"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",SC,129876554,92-9875515,1516364478
So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,ZM,129876595,929875483,1516365648
Hey now am free you can call me.,SE,12-9876552,929875496,1516364679
Never try alone to take the weight of a tear that comes out of ur heart and falls through ur eyes... Always remember a STUPID FRIEND is here to share... BSLVYL,LS,12-9876621,92-9875484,1516365588
R u saying i should re order the slippers cos i had to pay for returning it.,AF,129876611,92-9875516,1516365743
Lmao you know me so well...,NL,129876620,92-9875448,1516365380
I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him,KN,129876631,92-9875490,1516365038
Can a not?,IN,12-9876575,929875515,1516365579
Did u got that persons story,SR,12-9876618,92-9875476,1516365103
For sale - arsenal dartboard. Good condition but no doubles or trebles!,TC,12-9876570,999999996,1516365690
Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a �250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstop�1.50/week,PW,12-9876541,999999998,1516364785
We r outside already.,MA,12-9876576,929875500,1516364867
I cant pick the phone right now. Pls send a message,ZM,12-9876628,929875497,1516364887
"Its ok., i just askd did u knw tht no?",NA,129876617,929875523,1516364684
"Dude u knw also telugu..thts gud..k, gud nyt..",GP,129876566,92-9875453,1516365949
"Me not waking up until 4 in the afternoon, sup",AO,12-9876585,929875495,1516365426
Yar... I tot u knew dis would happen long ago already.,EE,12-9876559,929875484,1516364533
"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8",TK,129876577,999999996,1516365534
Yes. that will be fine. Love you. Be safe.,CY,129876625,929875526,1516364944
Do you know when the result.,JE,12-9876541,929875434,1516364866
"I wonder if your phone battery went dead ? I had to tell you, I love you babe",TN,129876574,929875467,1516365374
No da..today also i forgot..,VA,129876587,929875486,1516365843
"Looks like you found something to do other than smoke, great job!",HR,129876598,929875523,1516364168
Horrible gal. Me in sch doing some stuff. How come u got mc?,MM,129876625,92-9875473,1516366101
Well I'm going to be an aunty!,RE,12-9876629,92-9875436,1516365218
Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,IO,12-9876627,92-9875446,1516365399
"Sir, I need AXIS BANK account no and bank address.",FM,12-9876630,92-9875457,1516364220
Ya very nice. . .be ready on thursday,HU,12-9876551,929875500,1516365490
As a Registered Subscriber yr draw 4 a �100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062,ES,129876597,999999998,1516364718
U�۪ve Bin Awarded �50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min �50-�500. OptOut 08718727870,GT,129876540,999999999,1516365531
"sorry, no, have got few things to do. may be in pub later.",HK,12-9876566,929875505,1516364690
"\\Thinking of u ;) x\"\"\"\"",KR,129876619,92-9875445,1516366143
K.k..how is your sister kids?,MM,129876553,92-9875467,1516365621
Nobody names their penis a girls name this story doesn't add up at all,SZ,12-9876563,92-9875498,1516364303
"Sir, I need Velusamy sir's date of birth and company bank facilities details.",DJ,12-9876601,92-9875532,1516364432
"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day.",RO,129876582,92-9875475,1516365742
�� come lt 25 n pass to me lar,MM,129876591,929875491,1516364763
I'm done. C �_ there.,VC,129876581,92-9875459,1516364866
You can donate �2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. �2.50 will be added to your next bill,NO,12-9876595,999999999,1516366083
\Hey sorry I didntgive ya a a bellearlier hunny,TV,12-9876575,929875471,1516364490
"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea",AF,12-9876556,929875516,1516364322
"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for",AS,129876627,92-9875464,1516364607
LOL that would be awesome payback.,UA,12-9876600,929875499,1516364789
Ok but tell me half an hr b4 u come i need 2 prepare.,PN,129876584,92-9875445,1516365803
Oh yeah clearly it's my fault,PW,12-9876617,929875516,1516365201
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,FK,129876534,92-9875482,1516365575
I dun believe u. I thk u told him.,MQ,129876612,929875495,1516365185
Im done. Just studyn in library,BS,129876610,929875467,1516365327
Wife.how she knew the time of murder exactly,KI,12-9876535,929875469,1516365006
O shore are you takin the bus,RE,12-9876560,929875437,1516364201
K..k...from tomorrow onwards started ah?,PF,12-9876603,92-9875484,1516365937
Yup. Wun believe wat? U really neva c e msg i sent shuhui?,NP,12-9876610,92-9875490,1516365758
"I can probably come by, everybody's done around  &lt;#&gt;  right?",JM,12-9876608,92-9875515,1516365808
"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget",AL,129876578,929875454,1516365729
Aiyo cos i sms �_ then �_ neva reply so i wait 4 �_ to reply lar. I tot �_ havent finish ur lab wat.,CM,129876569,92-9875527,1516366000
"Nope. Since ayo travelled, he has forgotten his guy",MX,12-9876624,929875518,1516364834
Yup,DO,129876621,929875500,1516365317
"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a �500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",MT,129876629,999999996,1516365052
How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..,AO,12-9876608,929875501,1516364602
Great. P diddy is my neighbor and comes for toothpaste every morning,ET,129876585,929875493,1516365339
Did you show him and wot did he say or could u not c him 4 dust?,HU,12-9876533,92-9875502,1516365020
I���m going to try for 2 months ha ha only joking,BJ,129876577,929875460,1516365375
Ugh I don't wanna get out of bed. It's so warm.,FO,12-9876569,92-9875510,1516364236
I'm awake oh. What's up.,MT,129876589,929875507,1516364855
"sure, but make sure he knows we ain't smokin yet",CK,129876576,929875526,1516365733
Then we wait 4 u lor... No need 2 feel bad lar...,KP,12-9876588,92-9875464,1516365695
You have 1 new voicemail. Please call 08719181503,NI,129876621,999999997,1516365482
U calling me right? Call my hand phone...,BI,12-9876538,92-9875476,1516366122
"\"The word \\Checkmate\"\" in chess comes from the Persian phrase \\\"\"Shah Maat\\\"\" which means; \\\"\"the king is dead..\\\"\" Goodmorning.. Have a good day..:)\"\"\"",SL,129876594,929875519,1516365919
Done it but internet connection v slow and can���t send it. Will try again later or first thing tomo.,UA,129876577,92-9875490,1516365192
Yup... Ok i go home look at the timings then i msg �_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,CA,129876588,929875480,1516364313
Have you always been saying welp?,TC,12-9876551,929875465,1516364942
"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",BT,12-9876561,929875496,1516364469
"It wont b until 2.15 as trying 2 sort house out, is that ok?",RW,129876544,929875446,1516365564
"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz",LC,12-9876614,92-9875435,1516365911
Send me your resume:-),UZ,12-9876585,929875508,1516366056
Yes. It's all innocent fun. O:-),FI,129876572,929875518,1516364749
Stupid.its not possible,AG,129876605,929875480,1516365086
Lol you won't feel bad when I use her money to take you out to a steak dinner =D,PR,129876534,92-9875505,1516365636
Thank you baby! I cant wait to taste the real thing...,NE,129876629,929875472,1516364200
Nothing. Can...,MM,129876600,929875443,1516364301
"\\URGENT! This is the 2nd attempt to contact U!U have WON �1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. max�7. 50\"\"\"\"",GW,12-9876627,999999992,1516365142
"Kate jackson rec center before 7ish, right?",TC,129876572,92-9875444,1516366000
"As usual..iam fine, happy &amp; doing well..:)",BN,12-9876579,929875470,1516364351
"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing",IM,129876596,92-9875525,1516365531
That's necessarily respectful,PM,129876618,929875445,1516364531
Is there coming friday is leave for pongal?do you get any news from your work place.,MR,12-9876537,929875530,1516364971
Let's pool our money together and buy a bunch of lotto tickets. If we win I get &lt;#&gt; % u get &lt;#&gt; %. Deal?,KY,12-9876591,92-9875495,1516365954
Haha... dont be angry with yourself... Take it as a practice for the real thing. =),TC,129876567,929875500,1516364162
"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.",GD,129876587,92-9875504,1516365543
"accordingly. I repeat, just text the word ok on your mobile phone and send",CX,129876630,999999990,1516365272
In the end she might still vomit but its okay. Not everything will come out.,GY,129876574,92-9875504,1516365287
"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone",NO,12-9876546,929875522,1516365195
Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,RE,12-9876548,929875502,1516364542
And miss vday the parachute and double coins??? U must not know me very well...,NU,129876545,92-9875438,1516366126
Dude how do you like the buff wind.,MS,129876596,92-9875452,1516366105
Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls�1/minMobsmore LKPOBOX177HP51FL,MA,129876553,999999991,1516365069
Okie,BV,129876562,929875524,1516365502
"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",UZ,12-9876615,929875484,1516364797
Yo! Howz u? girls never rang after india. L,LY,129876631,929875499,1516364224
did u get that message,SM,129876605,929875531,1516365070
I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,GD,12-9876552,92-9875447,1516365089
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,CA,12-9876596,92-9875484,1516364368
Ha ha - had popped down to the loo when you hello-ed me. Hello!,FR,129876607,929875455,1516365690
Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,AW,129876602,92-9875524,1516364869
